SmokeDensity,Temperature,WindSpeed,NO2_ppm,CO_ppm,SO2_ppm,Humidity,TimeOfDay,DayOfWeek,Distance_m,BlackCarbonRatio,SourceType,PM25
79.7,41.4,2.8,55.1,10.9,59.6,44.6,19,3,234.3,0.443,Factory,165.1
83.4,40.8,2.1,55.5,9.7,72.4,48.2,9,5,216.0,0.343,Factory,175.7
48.3,36.5,7.1,83.8,20.6,8.6,51.3,7,5,35.8,0.12,Vehicle,142.8
43.8,33.2,9.6,105.3,21.2,7.7,37.3,8,3,28.9,0.279,Vehicle,169.8
85.6,41.6,2.6,77.7,12.1,53.4,41.0,10,4,199.8,0.52,Factory,179.2
39.2,29.1,6.4,102.6,21.4,6.3,58.8,18,2,22.2,0.17,Vehicle,181.1
76.5,39.2,5.4,51.4,43.4,9.1,47.1,18,0,80.2,0.654,Garbage Burning,174.0
77.9,43.5,1.5,38.3,45.0,16.4,33.5,5,3,62.0,0.639,Garbage Burning,229.0
79.5,44.0,1.8,30.1,47.2,14.2,40.2,17,0,75.4,0.737,Garbage Burning,232.1
79.2,35.3,1.4,73.3,7.7,52.5,48.5,9,5,250.9,0.292,Factory,161.3
84.4,40.5,6.2,80.4,7.8,47.0,46.6,14,3,152.6,0.363,Factory,130.6
84.5,46.1,4.0,17.5,32.6,17.9,52.5,19,5,63.1,0.814,Garbage Burning,166.2
77.1,47.0,0.9,33.2,37.3,11.0,22.2,8,1,26.7,0.737,Garbage Burning,226.3
78.2,41.6,1.5,18.8,33.6,8.2,18.0,17,1,15.3,0.668,Garbage Burning,194.9
86.2,38.6,0.9,83.3,13.2,57.6,39.1,10,3,116.9,0.454,Factory,194.4
75.9,44.1,2.0,24.8,41.0,7.8,44.5,17,1,41.4,0.75,Garbage Burning,213.2
80.7,46.5,0.5,28.7,39.0,14.6,26.6,19,2,19.3,0.627,Garbage Burning,226.8
36.7,25.8,5.9,110.5,16.7,8.1,51.6,17,4,11.5,0.26,Vehicle,187.7
88.5,46.6,3.2,21.3,29.3,15.2,25.4,17,1,44.7,0.824,Garbage Burning,192.6
80.0,37.2,2.2,87.9,12.1,60.7,49.5,9,5,135.3,0.351,Factory,162.2
79.4,47.0,2.8,28.5,31.7,13.7,44.7,5,6,10.0,0.706,Garbage Burning,174.2
94.3,39.5,3.6,63.0,10.2,45.9,45.8,12,5,216.1,0.287,Factory,153.2
97.3,37.8,4.0,71.4,10.4,57.2,58.4,13,1,271.8,0.365,Factory,156.1
42.2,27.0,6.7,99.0,22.5,5.8,62.1,7,2,20.3,0.272,Vehicle,165.6
94.2,38.3,0.6,29.3,23.1,16.2,33.6,19,4,45.5,0.62,Garbage Burning,195.0
86.1,42.8,0.7,59.1,9.9,59.0,53.3,8,2,231.7,0.501,Factory,181.7
83.5,34.2,2.1,67.9,6.7,55.1,46.8,19,4,259.7,0.406,Factory,162.6
84.1,46.9,2.8,42.1,40.5,14.8,23.1,8,3,43.9,0.798,Garbage Burning,213.4
82.3,37.7,3.0,65.4,12.8,69.4,48.7,15,2,112.9,0.521,Factory,169.2
86.6,40.4,2.7,79.6,8.2,77.6,40.2,19,2,251.6,0.419,Factory,196.1
65.0,45.9,2.7,34.9,36.0,9.4,35.3,7,4,53.3,0.711,Garbage Burning,191.2
84.6,39.1,2.8,84.0,11.5,56.7,53.0,10,1,189.4,0.447,Factory,171.3
85.1,45.4,1.9,32.3,42.8,16.4,48.3,7,0,89.5,0.765,Garbage Burning,219.4
44.6,24.4,6.2,99.2,22.4,5.3,50.4,18,1,24.5,0.295,Vehicle,190.7
83.0,36.2,1.6,76.8,8.9,67.6,44.5,14,3,306.4,0.424,Factory,192.3
82.3,47.1,4.3,26.2,28.9,13.9,39.4,19,5,80.1,0.7,Garbage Burning,155.3
76.6,42.4,0.5,28.4,37.2,15.4,31.9,7,5,85.2,0.783,Garbage Burning,223.6
77.9,34.5,1.5,77.4,10.1,67.5,48.0,18,3,134.6,0.369,Factory,184.0
76.1,46.8,1.0,40.4,28.1,16.4,34.8,18,1,23.8,0.58,Garbage Burning,178.8
81.2,52.5,4.8,43.7,29.9,17.6,43.9,18,3,10.0,0.773,Garbage Burning,165.5
38.7,23.0,11.8,84.4,20.5,5.7,65.0,8,3,31.8,0.257,Vehicle,112.5
83.8,36.6,2.5,77.6,13.7,59.9,51.5,11,1,267.3,0.402,Factory,187.5
84.8,43.8,2.2,96.5,11.4,45.8,51.1,7,2,191.1,0.372,Factory,171.4
81.4,42.4,3.3,86.4,15.2,72.4,41.8,8,4,187.2,0.304,Factory,179.9
79.9,35.8,1.9,66.2,12.8,60.3,59.5,17,5,123.4,0.34,Factory,164.1
39.3,31.1,9.0,81.0,18.6,6.7,46.3,8,1,15.3,0.215,Vehicle,132.6
38.8,24.7,8.8,104.6,22.1,10.8,59.5,19,1,19.5,0.341,Vehicle,158.9
92.6,36.7,2.8,91.1,14.8,51.9,49.0,15,4,266.4,0.498,Factory,177.6
69.8,35.5,2.5,46.5,50.3,18.7,39.4,17,2,11.3,0.763,Garbage Burning,240.1
33.7,20.0,8.0,88.3,25.4,4.6,73.5,8,5,31.2,0.217,Vehicle,136.2
82.6,39.2,1.0,75.9,11.4,64.6,44.8,7,5,160.1,0.49,Factory,187.1
75.4,39.6,0.5,54.2,12.6,47.8,49.3,10,3,273.9,0.367,Factory,159.3
80.3,47.8,0.5,51.3,29.5,13.4,40.1,20,0,67.7,0.752,Garbage Burning,214.7
42.4,26.1,10.3,95.7,21.8,2.0,53.7,7,3,29.0,0.352,Vehicle,146.2
83.5,40.2,5.3,72.5,12.5,63.1,48.1,11,5,226.7,0.452,Factory,164.2
31.0,29.8,6.9,109.6,22.6,8.8,39.2,8,1,12.4,0.365,Vehicle,199.7
45.7,23.3,6.2,97.0,19.5,6.0,64.8,7,3,21.7,0.234,Vehicle,173.9
79.2,39.6,3.5,64.4,10.1,51.3,44.8,17,4,180.5,0.446,Factory,163.8
88.8,40.0,2.2,67.1,5.8,50.0,40.5,11,2,335.0,0.467,Factory,174.8
61.4,29.8,7.4,90.6,20.0,12.6,64.9,7,3,32.3,0.305,Vehicle,149.7
86.3,36.1,3.6,64.3,12.6,60.0,52.8,8,5,178.8,0.442,Factory,167.7
75.2,42.2,1.8,72.5,13.6,60.7,49.5,10,4,191.7,0.429,Factory,185.1
87.4,45.3,4.3,72.6,14.5,65.0,35.7,13,4,215.2,0.359,Factory,174.5
34.9,30.7,7.8,125.0,26.4,5.3,71.2,7,3,28.4,0.311,Vehicle,190.1
90.7,45.4,2.9,73.1,12.0,57.6,46.1,18,2,210.3,0.371,Factory,163.5
84.0,39.3,3.5,74.8,10.8,72.8,43.7,8,5,208.1,0.496,Factory,177.9
83.7,42.8,2.2,32.6,30.3,7.6,36.3,6,5,50.3,0.64,Garbage Burning,179.5
52.6,30.1,6.5,96.5,20.7,3.3,65.5,17,4,28.6,0.266,Vehicle,163.0
74.0,40.5,3.1,43.5,30.3,11.5,37.7,17,4,63.7,0.743,Garbage Burning,192.4
86.3,38.3,3.9,69.4,14.1,54.4,42.9,19,2,185.6,0.368,Factory,156.9
37.8,26.9,8.4,92.4,17.5,6.9,47.3,17,1,35.5,0.227,Vehicle,136.6
44.7,36.2,4.9,93.3,22.8,11.3,41.0,18,1,45.6,0.442,Vehicle,182.7
82.1,44.0,1.9,43.2,37.7,16.5,32.6,19,2,64.2,0.686,Garbage Burning,219.2
42.0,31.3,8.0,109.3,23.3,6.8,51.3,9,2,32.1,0.376,Vehicle,186.2
69.2,41.4,5.4,24.7,36.0,21.0,26.3,18,5,76.8,0.613,Garbage Burning,173.5
56.6,33.0,5.9,96.2,26.2,8.8,65.9,7,2,6.6,0.29,Vehicle,175.9
91.5,37.2,5.1,59.0,10.2,52.6,36.4,9,1,223.8,0.372,Factory,152.4
39.6,27.9,9.2,91.8,19.8,8.5,47.0,9,5,57.3,0.225,Vehicle,143.3
90.0,37.0,4.9,67.9,8.6,59.2,32.8,10,1,194.1,0.378,Factory,159.5
80.2,39.6,2.2,39.3,33.1,10.9,44.3,19,3,52.3,0.803,Garbage Burning,185.0
81.5,51.3,2.3,33.1,29.9,5.0,40.1,8,1,53.7,0.688,Garbage Burning,183.6
59.9,33.9,7.7,96.1,21.9,6.2,46.2,8,4,22.8,0.236,Vehicle,153.3
33.9,23.6,7.4,124.0,26.1,8.4,54.2,17,3,31.6,0.278,Vehicle,201.5
42.2,25.4,8.2,88.5,22.9,8.5,49.6,19,2,19.1,0.135,Vehicle,153.7
81.8,56.7,1.2,35.0,43.9,19.5,26.7,8,6,56.5,0.785,Garbage Burning,251.2
84.6,40.4,3.0,59.6,13.4,53.5,37.7,9,4,153.0,0.515,Factory,167.6
79.5,52.9,2.9,46.4,40.1,16.2,32.6,8,6,87.5,0.715,Garbage Burning,209.8
88.9,42.3,3.5,57.0,8.8,42.9,54.6,13,5,152.9,0.489,Factory,143.8
81.5,40.3,4.0,72.7,12.2,59.1,43.2,16,3,182.5,0.402,Factory,159.0
81.6,40.0,1.9,90.5,11.7,50.3,56.2,9,4,127.8,0.39,Factory,160.0
44.2,24.3,6.1,94.5,29.4,9.7,36.9,9,4,14.5,0.48,Vehicle,198.1
22.0,21.9,8.4,105.6,21.6,14.6,59.7,8,2,16.4,0.246,Vehicle,153.7
82.4,40.2,1.9,67.8,9.1,70.6,51.0,18,2,93.5,0.489,Factory,184.1
74.7,50.2,4.7,43.0,50.6,19.7,60.0,8,1,43.8,0.546,Garbage Burning,183.4
87.1,36.3,2.7,66.6,10.3,55.8,61.0,15,4,219.3,0.43,Factory,146.0
80.9,40.9,3.8,66.5,9.7,52.5,42.7,10,4,278.1,0.427,Factory,160.6
72.1,50.8,4.1,22.4,40.3,17.6,28.4,6,1,51.3,0.716,Garbage Burning,187.8
76.7,48.6,4.9,21.7,37.2,13.6,55.2,17,2,78.1,0.743,Garbage Burning,167.0
72.0,36.6,1.4,75.3,15.2,59.5,44.7,19,2,198.2,0.448,Factory,172.8
48.9,23.0,7.0,81.2,20.9,4.6,55.8,17,2,19.6,0.277,Vehicle,150.7
23.7,20.2,6.8,81.7,22.5,2.9,73.6,17,2,27.2,0.174,Vehicle,118.4
83.5,46.3,3.3,27.8,38.3,14.7,45.8,8,6,49.0,0.814,Garbage Burning,195.8
88.8,33.1,4.4,79.3,12.5,59.9,47.6,8,4,139.7,0.408,Factory,159.9
78.8,54.4,4.4,35.0,36.4,7.9,38.4,7,4,50.2,0.636,Garbage Burning,183.4
86.2,46.6,3.0,36.6,37.0,10.7,55.9,17,1,55.6,0.719,Garbage Burning,181.5
76.0,41.9,3.2,28.3,44.2,18.2,41.0,8,1,78.3,0.644,Garbage Burning,216.3
55.0,29.6,6.3,111.9,19.1,4.1,50.9,17,4,14.2,0.299,Vehicle,181.9
36.9,27.6,7.4,99.8,24.8,3.4,46.3,17,3,23.7,0.28,Vehicle,181.7
72.4,47.6,3.4,24.1,48.6,18.3,58.1,5,3,49.2,0.646,Garbage Burning,193.9
53.1,30.1,11.6,101.4,21.5,4.7,60.8,7,2,19.2,0.238,Vehicle,130.1
75.2,54.1,3.5,22.0,35.0,13.3,32.2,6,6,31.0,0.68,Garbage Burning,180.9
27.8,31.5,3.0,99.6,18.1,7.5,60.8,19,4,27.3,0.161,Vehicle,186.3
78.1,54.3,3.9,30.2,29.7,11.8,25.3,17,1,80.6,0.782,Garbage Burning,185.1
86.0,42.2,3.1,65.5,9.7,60.3,47.8,11,1,216.3,0.391,Factory,165.2
70.6,42.5,2.8,43.9,38.7,11.6,46.0,17,3,39.2,0.742,Garbage Burning,188.4
78.8,39.4,0.5,72.7,9.8,46.6,51.7,11,2,256.1,0.425,Factory,183.3
42.4,25.0,8.7,88.6,21.8,10.0,53.8,18,1,27.3,0.353,Vehicle,142.5
77.7,42.4,2.8,15.0,37.8,15.6,38.4,7,6,84.3,0.801,Garbage Burning,189.7
54.9,27.5,7.0,86.4,23.7,5.3,66.8,19,1,14.9,0.243,Vehicle,152.3
77.4,41.9,3.0,44.7,35.6,11.8,51.9,6,2,38.2,0.702,Garbage Burning,176.0
89.9,42.3,3.7,67.7,12.9,66.9,40.3,14,2,89.8,0.521,Factory,176.6
84.9,37.2,2.9,87.0,7.1,65.0,37.6,16,3,175.2,0.427,Factory,177.0
87.6,37.5,5.6,63.5,13.6,59.6,48.0,16,4,302.1,0.487,Factory,158.5
41.4,30.9,8.6,97.2,21.3,13.9,58.1,17,1,23.0,0.282,Vehicle,135.3
92.9,38.8,3.6,65.5,14.1,70.4,45.4,8,4,102.8,0.367,Factory,165.9
46.0,29.6,8.9,96.7,26.7,10.7,72.2,7,3,5.2,0.217,Vehicle,141.9
49.4,26.6,7.3,85.6,21.6,4.0,43.5,17,4,27.5,0.218,Vehicle,155.6
51.5,25.4,8.8,78.2,26.7,6.8,56.7,9,3,17.0,0.259,Vehicle,150.6
79.0,36.0,3.0,72.1,16.7,56.2,56.5,19,1,236.7,0.437,Factory,163.5
86.3,41.0,0.6,69.7,13.6,64.3,37.3,14,5,180.3,0.443,Factory,194.7
84.0,50.2,1.0,38.0,42.2,7.9,43.7,19,0,68.1,0.62,Garbage Burning,211.8
46.3,29.5,7.2,93.8,22.1,14.8,53.4,9,4,32.7,0.176,Vehicle,156.0
78.0,44.9,1.1,41.4,34.9,12.3,40.2,6,0,78.1,0.753,Garbage Burning,209.8
49.2,32.1,7.4,113.1,19.5,8.1,48.7,18,2,24.8,0.342,Vehicle,191.1
82.7,39.0,3.4,72.5,7.5,57.6,51.3,17,4,188.4,0.457,Factory,169.4
66.0,22.5,5.3,110.9,28.5,6.3,50.9,7,4,29.9,0.177,Vehicle,215.2
81.0,39.4,3.1,62.8,15.4,40.4,47.4,10,1,215.7,0.37,Factory,153.4
86.8,37.0,4.9,83.4,9.2,59.8,42.0,11,4,210.1,0.453,Factory,164.1
78.4,34.9,3.0,63.4,9.2,63.3,41.6,17,4,240.4,0.404,Factory,165.5
90.7,47.6,4.2,34.1,41.7,14.4,35.6,5,4,79.2,0.773,Garbage Burning,206.8
89.8,48.5,1.2,36.2,36.9,20.9,31.5,18,3,66.6,0.75,Garbage Burning,222.5
41.0,32.1,8.1,94.0,15.3,6.0,67.4,8,2,7.6,0.363,Vehicle,145.2
72.9,50.9,4.4,30.1,33.9,23.3,51.7,6,5,47.8,0.68,Garbage Burning,167.1
45.1,29.4,9.9,90.6,28.8,6.2,64.0,17,3,16.2,0.348,Vehicle,132.7
76.6,46.4,2.8,33.5,38.3,12.0,40.1,20,1,63.2,0.774,Garbage Burning,203.0
85.0,42.5,4.5,29.3,32.6,20.7,41.2,17,6,53.4,0.657,Garbage Burning,174.2
49.0,26.7,8.1,86.1,24.3,2.8,33.1,17,2,11.2,0.235,Vehicle,155.1
78.8,41.5,7.0,69.5,10.5,54.4,43.9,15,1,260.5,0.419,Factory,143.5
53.0,21.6,10.8,98.6,18.2,14.0,58.2,17,3,19.1,0.21,Vehicle,144.6
78.4,41.4,4.7,69.3,9.9,38.6,45.9,7,3,231.0,0.438,Factory,133.4
59.7,32.0,4.7,88.4,25.2,2.0,50.1,8,1,19.1,0.342,Vehicle,183.1
80.4,42.8,2.7,35.5,46.4,19.2,31.3,18,3,50.5,0.679,Garbage Burning,216.3
78.0,37.1,1.8,76.7,12.1,69.6,52.4,7,4,230.5,0.378,Factory,180.5
25.4,20.0,8.1,100.7,17.1,2.8,59.0,18,2,8.2,0.265,Vehicle,153.7
86.5,32.0,4.6,82.4,9.6,53.5,50.1,16,3,218.6,0.419,Factory,161.7
85.9,38.4,2.6,88.7,9.8,52.8,49.9,12,3,80.0,0.477,Factory,170.3
80.2,46.7,2.0,32.3,42.3,12.3,44.8,17,3,23.5,0.698,Garbage Burning,202.1
55.4,27.1,5.9,72.7,18.4,7.7,57.0,18,2,22.6,0.285,Vehicle,140.7
86.3,35.9,0.5,66.9,11.3,61.0,45.4,17,2,280.0,0.507,Factory,201.4
45.6,29.2,9.2,101.9,25.2,2.3,48.7,9,1,6.7,0.239,Vehicle,155.5
92.0,39.8,2.2,64.1,13.1,48.0,46.4,11,5,182.2,0.496,Factory,170.5
76.4,46.9,2.0,45.7,34.3,15.8,33.2,19,1,48.4,0.6,Garbage Burning,187.0
79.4,42.2,2.8,28.5,38.6,13.6,24.6,7,3,54.5,0.608,Garbage Burning,204.4
77.9,50.3,2.9,31.7,33.0,14.9,48.9,19,3,94.8,0.662,Garbage Burning,171.7
83.6,47.3,3.8,36.9,45.6,17.1,35.6,6,2,53.5,0.586,Garbage Burning,200.7
72.8,51.8,4.7,25.5,42.4,14.3,18.0,17,2,51.4,0.698,Garbage Burning,193.0
42.6,30.1,8.4,111.9,15.6,10.9,58.2,17,5,25.2,0.299,Vehicle,169.0
33.9,28.0,5.7,92.1,25.7,7.0,48.8,17,3,27.9,0.3,Vehicle,170.6
